,review_date,review_title,review_text,rating,date_of_stay,trip_type,reviewer_name,contribution,help_full_votes,location_reviewer,Location_rating,Service_rating,Cleanliness_rating,Rooms_rating,Sleep_Quality_rating,Value_rating
0,Yesterday,S Originals,"We had a really good stay at Lemon tree and we would like to thank Varma Kumar for making our stay smooth and pleasent. We stayed in the suite which had a beautiful view of the city and its the biggest suite in the city. I recommend Lemon Tree hotels if you are planning to visit Hyderabad for thier maintenance and service.

Regards
Aloor Niranjan",5.0,February 2021,business,Aloor Niranjan,2,,,,,,,,
1,14 Feb,Pleasant stay,"Lemon tree has always been one of the best hotels. They are always counted at top for its service, cleanliness, hygiene, behaviour and lots more.. specially Shrinivas (room cleaning staff) is great and enthusiastic to this work, always has a sweet smile and decent behaviour and keeps rooms clean and tidy. Manager Rahul, Tamang at the reception and restaurant staff has always been of great help and support for any query and need. All covid precautions and safety measures are taken at the Hotel. Will visit every possible time to lemon tree premium hotels. Great ambience, spacious rooms and bathrooms are the one that makes a person comfortable here. Thank you..

Just one suggestion: please include some more items in breakfast menu..",5.0,February 2021,couple,Saurabh Mehta,1,,,,,,,,
2,13 Feb,Excellent stay and hospitality,"Excellent to be at lemon tree premier - Hyderabad.
Good food and excellent hospitality.
Good property with good ambience and gr8 experience.
cool wave in the evening added the topping to the stay......",5.0,February 2021,business,Raghav Khanna,1,,,,,,,,
3,7 Feb,"Business trip in lemon tree, high-tech city","It was a nice stay. But didn't meet my expectations. Seeing it from the outside, I thought will be really great inside. But normal and food was so expensive.

Thank you So much Ms. Sattwatvi, for keeping my room clean and support.",5.0,January 2021,business,Yogesh,1,,"Madhapur, India",,,,,,
4,6 Feb,"Business trip in lemon tree, high-tech city","Feeling happy and excited. Stayed in 10 th floor, more spacious & comfortable room. Mr. Subash Kannan from lemon tree high-tech city, gave surprise to me and celebrated my birthday with small sweets. Unforgettable.Thanks to lemon tree team",5.0,February 2021,business,Sasi,1,,,,,,,,
5,2 Feb,A friend in need is a friend indeed,"Hi lemon tree hotel I came here for business purpose. I stayed for one night at lemon tree premier.My friend Dipayan works for you I think the service he had given us is worth remembered and I will remember my whole life.Perfect treat from a school fried. Coming to hotel it's in a nice location. Room is spacious services are prompt. Special mention to Navya who helped us check in then from housekeeping malliah and suyash. Thanks guys and so many thanks to Dipayan. Will definitelycome back.
Cheers....",5.0,February 2021,friends,Deep Mandal,1,,,,,,,,
6,2 Feb,Friend in need is a friend indeed,"Hi lemon tree hotel I came here for job purpose stayed one night at lemon tree premier my friend Dipayan works for you I think the service he had given us is worth remembered and I will remember my whole life.Perfect treat from a school fried. Coming to hotel it's in a nice location room is spacious services are prompt. Special mention to Navya who helped us check in then from housekeeping malliah and suyash. Thanks guys and so many thanks to Dipayan will come back.
Cheers...",5.0,February 2021,friends,BISWAJIT K,1,,,,,,,,
7,Jan 2021,Don’t forget packing your toothbrush or else you need to pay the penalty!,"We stayed twice in the hotel on our way to Vizag and back from Pune The first time, we stayed in room 921, while the second time we were allotted room no 821- both booked as business room with approximately same cost. Surprisingly, in. room 821... neither dental kit nor shaving kit or face tissues were provided in the bathroom. On Inquiring we were told, it’s on chargeable basis . Their logic is, for the top floors (from 9th onwards) it comes complimentary. I was surprised!! Won’t a guy staying in the 8th floor and below brush his teeth??? I don’t understand what sort of business they are doing!!!

The bathing space is too small... you may hurt yourself if not extra cautious- it’s true for all business rooms.

The food is super expensive but not worthy enough as per the taste and the time they take to serve!!

Good thing- the mattress and pillows are good and the location is just great!!

In Hyderabad there are a number of good hotels that come up with the same or may be less price as compared to Lemon tree premier... so think and decide!!

Last but not the least, in the name of Covid precautions, they won’t assist you to your room.. you need to carry your own luggage from the parking to the room and back... there is no valet available to park your car!!

Hot Water is not available 24 hours but on request they will provide you a bucket of hot water... so it’s worrisome...",2.0,January 2021,couple,Sourav Goswami,76,8,"Pune, India",,,,,,
8,Jan 2021,Stay at Lemon Tree Premier,"Thankyou Lemon Tree Premier for awesome service..

Specially
Dear Roshni ma'am,

Thank you for your quick response and stay is good and food also very good & I hope next time will get good discount.

Regards
Y H Allurkar",5.0,January 2021,business,Venkat Allurkar,2,,,,,,,,
9,Jan 2021,Lemon Tree Hotel Hitec city,The is an excellent hotel in a very good location. The service is exceptionally good. The staff are extremely helpful and willing to make your stay comfortable and memorable (especially sattwaki). Overall a pleasant stay.,4.0,January 2021,business,Smita,1,,,,,,,,
10,Jan 2021,Decent place,"This hotel is at the heart of hitech City,very prime location,room service & food is also good, especially breakfast is tasty. I booked an event hall at 7th floor ,staff was very supporting .orbit mall is quite close",5.0,January 2021,family,Nilesh R,56,14,"Visakhapatnam (Vizag), India",,,,,,
11,Jan 2021,Professor Neeta Rajput,"Excellent stay and well looked after by all staff members, few names such as Manager Azhar, houskeeping Asistant Manager, Breakfast team Lipi and others.
Coming back to stay soon as promised to myself whenever I will visit Hyderabad will only stay there perfect location, pampered by staff, good food, lovely property on best price, what else can you ask for😊",5.0,January 2021,business,Neeta R,1,,,,,,,,
12,Jan 2021,Very good service by the staff specially Sattwaki,"It was a pleasant stay, thanks to the staff present on the floor. I would like to mention the Sattawaki, who helped the guests to feel at home. Cleanliness, availability and prompt response is what you can expect the least, and it was there. at the end, a happy stay!",5.0,December 2020,family,Mockingdingo,1,,,,,,,,
13,Jan 2021,Loved the experience and staff,"It is a nice hotel, situated in Hitec City. This hotel is strategically located.

Rooms were quite spacious and well lit. Given that these difficult times, we felt that hotel had taken all necessary steps to make the stay as pleasant as possible.

Hotel staff is very courteous. They are always available to help the guests in all manners possible.

I would like to specially mention Sattwaki. She was very helpful during our stay. Wether it was about going extra mile to provide foot massager, when I had swollen foot or any thing else you need during your stay. Hospitality is all about going extra mile to make the stay special for guests and Sattwaki did go extra miles.

Only thing which I did not like was when they charge for sending cutlery to your room.",4.0,January 2021,business,Ajay B,11,2,"Gurugram (Gurgaon), India",,5.0,,5.0,4.0,
14,Jan 2021,good food and courteous service at Citrus cafe,"I stayed in this hotel recently and had food at Citrus cafe. The restaurant is open to the in house guest and they take all precautions of social distancing. The service offered by the staffs were very courteous and I would like to appreciate Lipi for her attention in detail to every guest. The food quality, as usual, was very good with reasonable good spread of buffet for BF and dinner. Recommend this place for safe stay and wish Lipi all teh best !!",4.0,January 2021,business,Prantik M,21,8,"Mumbai, India",4.0,4.0,4.0,,,
15,Jan 2021,Best Hotel for safe and cosy stay at Hitech city Hyd,"It's worth to spend sometime to write the review about the Hotel lemon tree premier Hyd. Nice stay experience. Good staff from all three dept; Dining , reception and Housekeeping.
All staffs are very friendly and ready to help with their best possibilities.

The front desk person Mr. Baskar and Manger Mr. Manu are always there to listen the our feedback and try to get arranged all things work properly.

Dining crews, Ms. Lipi, Mr.suman, Mr.Vedavyas, Mr.Hemanth , Mr. Baskar always there with their smile face to serve you best quality food on your tablet.

Only concern is limited-time of Hot water rest all is perfectly okay.

I strongly suggest this hotel at Hitech city Hyd those who are looking for safe and hygiene stay.

I rate Lemon Tree premier Hyd is 5/5.",5.0,December 2020,business,Srinivasa L Poojary,1,,,,,,,,
16,Jan 2021,Lemon Tree Premier Hitech City Very Good,"Hotel Rooms Good, Staff very friendly, Citrus cafe restaurant breakfast excellent, dinner is also nice, Transport is easily available, Metro station Raidurg just 100 meter away. The hotel is nice from family as well as business point of view ( both work and leisure- tourism) Special mention about following staffs Lipi and Sridhar of restaurant Citrus Cafe who are excellent in all respect and Girish, Venkatram of house keeping very good. Other staffs are also nice",4.0,December 2020,,Pinaki Bhattacharjee,2,,,,,,,,
